Label,Casefold
,sarapan nya sangat lengkap dan enakk di bantu oleh trening lenaa nilai a
,iya sangat sesuai dengan ekspektasi saya saya tidak tau kenapa suka banget sama hotel ini dr segi tata letaknya yang tidak jauh dr kota hotel ini juga lengkap dengan fasilitas yang sangat oke banget tambahan lagi dari receptionis nya yang selalu s good
,trimakasih banyak grand mercure atas layananya untuk kami semua kami sekeluarga merasa senang bisa singgah di tempat ini sekali lagi terimakasih atas layanannya
,hotel strategis di jl adisucipto jogjakarta bantal yg nyaman dan suprisingly ada gulingnya staff ramah dan helpfull sarapan lengkap dan wenak dengan menu andalan kearifan lokal khas jogjakarta wahaha makin betah staycation digrand mercure jogjakrta terimakasih ya sampai jumpa kembali
,layanan yang baik dan makanannya enak
,ramah baru sampai langsung dijemput barang bawaan diantar sampai kamar omnya baek tulus gak mau dikasih tips makan pagi enak malamnya ada caffe didekat loby ada bilyard piano dan papan catur ada kolam renang dilantai reccomanded
,good hospitality and fasility makanannya juga banyak varian very recommend for staycation
,menginap dan bermalam di sini tidak rugi fasilitasnya lengkap kolam renang ada gym ada restaurant ada outdornya di lantai atas di kamar juga ada pengering rambut kamarnya juga rapi bersih kamar madi bersih pas mandi pakai air panas sambil nyanyi nyani serasa sedang konser musik pertahankan keberisihannya mantap
,sarapan hari ini enak memuaskan
,tempat nya strategis staff nya ramah banget
,pelayanan ramah lokasi strategis kamar nyaman
negatif,lokasi agak jauh dari pusat kota agak tersiksa kalau mau jalan dari hotel pas jam sibuk kamar just okay cukup luas dan nyaman kamar mandi agak sempit handuk ada yang
,saya sangat senang dan puas dngan pelayanan yg ramah dan kamar yg presentatif
,dah x nginep disini nyaman banget terkesan elegan bgt bersih tempat breakfastnya jg nyaman bisa view keluar dan ke kolam renang dan gunung merapi harga cocok di dompet lokasi didekat mall amplaz pokoknya recomended bgt gaess
negatif,kelihatan manajemen hotel belum siap terima rombongan banyak banyak peserta sampai jam sore belum bisa cek in kuantitas makanan cukup banyak tapi rasanya kurang terasa enak untuk kelas hotel berbintang
,senang sekali dapat mencoba menginap di grand mercure yogyakarta sebuah pengalaman yang cukup mengesankan hotel yang luas dengan fasilitas yang lengkap kebersihan lobby lorong lift km diperhatikan secara detail fasilitas dalam kamar
,pengalaman kami menginap di hotel grand mercure jogjakarta berkesan karena fasilitas dari kamar inap bagus rapi bersih wangi sampai dengan fasilitas breakfast sangat memuaskan banyak pilihan menu khas jogja tradisional food juga lengkap
,sarapan nya enak enak dan pelayanan ramah terimakasih kpd kak lena
,staffnya ramah membantu pelayanan sangat bagus iftar di sini jadi moment yg nyaman dan spesial
,untuk pelayanan sangat memuaskan makan siang enak dapat pemandangan jalan dari atas hotel dan fasilitas ruang seminar sangat terfasilisi
,untuk menu sarapan oke banyak varian dari makanan ringan sampai makanan berat untuk menu recomended
,makanannya enak banget semua meni yg ada di yogya ada di hotel ini pelayanannya ramah saya dilauani oleh fifin anak yg manis dan cantik
,makanan nya ok kamarnya bagus bersih pelayananya top dari embak gita
,nyaman memuaskan letak setrategis makanan enak tersaji hangat menu lumayan lengkap
,sarapannya cukup lengkap dibantu mbak lena
,makanan pagi ini sangat enak
,makanannya bervariasi dan enak
,nyaman dan menyenangkan
,nyaman buat keluarga sarapannya sudah sesuai selera keluarga petugasnya gercep dan ramah
,untuk rooms ok banget rekomended karena memang sebelumnya pernah menginap dan meeting room di grand mercure berakfast menu sangat lengkap dan pelayanan memuaskan lokasi sangat strategis dekat dengan pusat kota jogja akses sangat mudah
,pelayanan hotel fasilitas restoran dll semuanya sangat memuaskan dan bagus next time pasti akan kesini lagi sih
,hotel nyaman breakfast enak dan lengkap
,sudah menginap disini stafnya ramah ramah kamar nyaman dekorasinya sangat unik bikin betah
,sangat nyaman kamar bersih makanan sangat enak
,update karen kerjaan lagi menginap disini malam kamar xx cukupan furniture mungkin bisa lbh baik lagi
,nice stay kamar bersih nyaman sarapan enak dan staff lena veronica sangat membantu
,pelayananya bagus makanan enak semua recomen buat stay casion di grand mercure yogyakarta
,grand mercure yogyakarta menawarkan pengalaman menginap yang berkesan dengan sentuhan budaya jawa yang kental namun tetap modern terlihat dari desain interior nuansa borobudur hingga keramahan stafnya dilengkapi dengan fasilitas lengkap
,layanan the best room jg luas dan lengkap yang paling penting lokasi starategis dan makanannya enak enak semua recommended buat stay selama liburan di jogja
,pengalaman menginap yang bagus ditambah breakfast yang luar biasa lengkap dan lezat
,lokasi strategis sarapan enak banyak pilihan banyak menu makanan jogja nyaa lift nya cepet kd kalau baru bisa cepet saat kegiatan di hotel ini
,kamarnya nyaman pilihan menu sarapannya banyak sekali
,sarapan nya sangat lezat dibantu train lena lena nya sangat baik dan ramah
,hotel terbaik memiliki view terbaik fasilitas lengkap staff yang ramah mau ke tempat wisata juga jaraknya dekat dan dekat dengan bandara adisucitpto apabila ingin ke malioboro juga jaraknya cukup menit sudah sampai jadi pingin ngajak teman buat staycation
,kamar yang nyaman dengan menu makan yang enak di lidah kolam renang juga buat anak senang berlibur di sini
netral,bukber di sana lumayan worth it cuma ada beberapa menu yang kurang enak menurut ku kaya ayam goreng bakso jajanan pasar menurut ku kurang rasanya yang paling enak kebab nya sama ayam rica rica enak banget
,nyaman makanan enak dan bervariasi
,hotel bintang di jogja tempatnya nyaman pelayanan oke kamar bersih makanannya enak deket ke mana mana
negatif,bersih dan nyaman pelayanan juga ramah dan baik meski ada waiters yang kurang baik respon dan pelayanannya saya minta air panas sewaktu breakfast tapi cuman di iyain aja sampe makanan saya habis akhirnya minta sama waiters yang lain baru di anterin dan akhirnya di sediakan air panas di outlet minuman
,sarapan ok mba silvia prlayanannya ok
,layanan bagus makanan enak selera nusantara
,room nya bersih tools lengkap ada setrika dan meja setrika timbangan bb elektrik pantry juga bersih sayang tempat sampah hanya ada di meja teh kopi tidak ada dalam kamar mandi
,breakfast lengkap dan sangat enak pelayanan mbak lena juga baik
netral,menyenangkan hanya aja ada berisik potong keramik debunya ke kolam kamarnya ac dan tatanannya bagus profesional
,kamarnya bagus hotelnya gede bgt fasilitas komplit pelayananya ramah cantik lagi letaknya strategis lain waktu bolehlah sini lagi
,kebersihan kamar dan juga kamar mandi membuat saya merasa betah dan nyaman untuk beristirahat setelah melakukan perjalanan yang cukup panjang di hotel ini para staff juga ramah dalam melayani jadi sangat rekomended untuk teman teman yang sedang mencari hotel
,ukuran kamarnya luas dan ada balkonnya kasur empuk dan bersih jd nyaman bgt nginep di hotel ini
,pelayanan sangat baik kamar ok makanan sarapan baik
,pelayanan oke dapet upgrade kamar pula tempat strategis dan overall recommended
,untuk hotelnya ok dan nyaman bersih dengan pelayanan nya bagus dan sangat memuaskan untuk menu sarapan nya lumayan enak dan banyak over all memuaskan
netral,overall bagus seperti mercure lainnya cuma kalo di lantai paling atas alias top floor itu suara chiller nya lumayan terdengar di beberapa kamar seperti suara vacuum selebihnya oke pelayanan ramah lokasi strategis
,kedua kalinya menginap hotel grand mercure yogyakarta adisucipto dengan sangat nyaman kamar sangat bersih dan rapih untuk restonya menyedikan banyak pilihan makanan dan semuanya enak
netral,bagus tempat nya tp sangat disayangkan restoran nyadi lantai biasanya yg lain di lt atau lobby tp tidak mengecewakan makanannya
,kamarnya sangat nyamann pelayan dan bagian reservasi cepat serta efisien senengg dan rekomendasi banget pokoknya untuk jadi pilihan menginap saat berkunjung ke jogja
,untuk sarapannya sangat enak dibantu oleh lena
,untuk restoran menu sangat lengkap dan bersih staf ramah saya sambut dengan mbak thania terimakasih
,hotel bersih dan makanannya lumayan bervariasi enak enak kalau bisa ditambahkan fasilitas minimarket agar para pelanggan diberikan kemudahan jika ada keperluan mendadak misal obat an pembalut wanita dll sukses selalu grand mercure hotel
,update sudah ada improvement makanan ok kamar ok
,sarapannya oke kamarnya juga bagus servicenya oke recommended
,makanannya enak cocok mantap pelayanannya juga ramah
,sarapan nya enak dan banyak varian pelayanan staf sangat ramah khusus nya mba salma terima kasih
,breakfast nya enak dilayani dengan baik oleh mbak silvia
,untuk makanannya sangat bervariasiii mulai dari makanan berattt sampai dessertt adaaa dann enakk jugaa makanannya
,hotel yang sangatt bagus pelayanannya ramah terutama untuk staff nya sangatt bagus sekalii the best lahh pokoknya
negatif,belum terbiasa men service tamu dengan jumlah banyak perlu ditingkatkan lagi soal ini
,hotel ternyaman fasilitas lengkap kamar nyaman makanannya juga enak ditambah pelayanan yang profesional next time klo kejogja nginep disini lagi pastii cocok buat yang liburan bareng keluarga
,long weekend kmrin kejogja sma keluarga late co dihotel karna kami keprambanan dlu bgtu smpe hotel agak kerepotan krna koper bnyak tapi staff sigap langsung bantuain pdhal lobby ramai org karna mmg musim liburan kali ya kami dpt kamar
,pertama kali iftar disini menunya bervariasi dan enak pelayanan servicenya good paling suka viewnya cakep poll bikin kumpul makin berkesan
,menu sarapannya enakkkkkk dibantu pelayanan oleh kak lena
,menu makanan sudah cukup berfariasi dan rasa sudah cukup nyaman tempat juga cukup memadai dibantu oleh training atas nama lena
,salad enak bubur ayam enak
,nyaman dan menu resto nya enak
,pelayanan sangat bagus
,kamar nya bersih pelayanan nya ramah dan menu breakfast nya banyak dan enak top bgttt
,varian makanan banyak dan lengkap rasanya enak untuk pelayanan nya sangat baik dan juga ramah
negatif,namanya grand mercure tp pelayanan dan roomnya ga kayak bintang beda bgt sama grand mercure di kota kota lain bahkan sama mercure hotel aja kalah jauh airnya cleo handuknya udh abu abu setrikaan harus minta barang di bathroom banyak yg berkerak tisue ruangan bau kecoa bantalnya dan spreinya bau minyak gosok
,rasa sarapan di hotel grand marcure pagi ini luar biasa mb lena melayani kami dengan baik sekali
,pengalaman menyenangkan makan pagi di sini dilayani mb silkia best pelayanannya
,thank you sudah memberikan pelayanan yang baik kalau kamar jangan di tanya lagi kualitasnya strategi ke tempat wisata sangat strategis aman nyaman dan enak
,cukup menyenangkan untuk sarapan standar menunya cukup variatif staffnya baik dan ramah anak
,lokasi pusat kota dan pelayanan yang sangat ramah terutama di restonya makanannya ga ada yg failed menurut saya
,hotel bintang yang worth it bangett aku sangat merekomendasikan hotel ini mau buat liburan bareng keluarga temen kantor atau apapun ituuu kamarnya bersihh luasss pelayanannya jempolll bangett makanannya juga enak enakkk recommended
,kamarnya bagus pelayanannya bagus stafnya ramah dan makananya enak bervariasi
,kamar bersih pelayanan saat check in cepat room service memuaskan menu sarapan bervariasi rasanya enak dan lokasi strategis
,pelayanan nya oke makanan nya enak beberapa kali bukber di hotel jogja menurut ku ini rasanya palingg worth it sukakk
,kamarnya ok bersih dan nyaman karyawan ramah dan sopan setiap ketemu tamu selalu memberikan salam dan senyum sarapannya variatif dan enak enak semua kapan kapan kembali lagi ke sini bersama keluarga semoga bisa dapat price yang bagus buat saya dan keluarga
,overall untuk pelayanan hotel sudah oke mulai dr welcome drink hingga layanan di ballroom dan resto
,sangat puas dari saat check in hingga check out semuanya sangat memuaskan saya menginap selama malam dan diberikan upgrade kamar ke executive room karena saya member platinum sarapan juga menyenangkan tempat duduk sudah direservasi
,luar biasa bisa menikmati sarapan dengan suana tenang dan pikiran jernih makanan sesuai selera lidah orang indonesia
,lokasi hotel strategis dan mudah dijangkau dekat dengan bandara adi sucipto hotel yang bagus dengan pelayanan terbaik bernuansa candi borobudur kamar yang nyaman untuk beristirahat ada ruang pertemuan yang besar dengan berbagai
,pelayanan baik dan ramah untuk menu restoran bintang
,kamar nya sangat bersih dan sarapan nya lengkap dan juga enak
,pertama kali menginap disini pelayanan dan fasilitas hotel sangat excellent semua staff ramah hotel bersih sangat nyaman
,hotel ini sangat direkomendasikan jika anda mencari kombinasi lokasi strategis sabun ala budaya lokal pelayanan hangat dan fasilitas lengkap ideal untuk staycation keluarga maupun acara bisnis pilih kamar di lantai tinggi dan jauh
,sangat ramah pelayannya sarapan pagi nya menu sangat komplit lezat semua menunya
,untuk pelayanananya sangat memuaskan dan makanannya sangat mantap dan enak sekali
,pelayanannya oke bangett kamarnya nyaman the best
,kamar enak bersih pelayanan ok banget
negatif,fasilitas bagus cuma pakai wifi di room meeting menggunakan laptop internet lemot padahal sinyal bagus
,breakfast nya cocok sekali enak dan lengkap servisnya oke dibantu mba lena terbaik
positif,kamar nyaman staff ramah lokasi strategis
,sudah kali menginap disini dua nya acara kantor jadi belum sempat explore dan menikmati fasilitas hotel cuma bolak balik kamar ke meeting room makanan lumayan bervariasi dan relatif oke lokasi juga strategis sebelahan dgn lippo mall dan ngga jauh dari ambarukmo plaza serta bioskop xxi
,for all pelayanannya bagus sekali kamar oke dan breakfast enak lengkap terima kasih untuk mba lena untuk service excellent nya sewaktu di resto
,overall oke nyaman dan sarapannya enak
netral,pelayanan baik menu sarapan kurang bervariasi lokasi strategis hanya jalan didepan hotel sering macet
,breakfastnya enak banget pelayananya ramah banget sm mb lena
,makanan enak dan banyak variasi dan untuk pelayanan memuaskan ramah serta sopan
positif,hotel dgn fasilitas lengkap dan pelayanan ramah dari para staffnya rekomendasi topp bagi yang cari hotel di jogja
positif,kamarnya nyaman akses ke jogja dekat semua
positif,senang sekali disini karena layanan memuaskan ramah dan profesional makanannya enak
,salma sbg pelayan sangat bahus dlm melayani kita kamar tempat makan sangat tepresentatif saya dah kali
,halal bihalal kali ini pake venue di hotel ini mulai dari f b dan ruangan its all good semua disediakan dengan sangat baik sukaaaak
,room spacious breakfast lengkap ada gudeg dan mie ayam swimming pool jg oke pelayanan ramah
,staycation berdua di sini berasa honeymoon suasananya tenang lighting kamar romantis banget
,kamar sangat luar biasa pelayanan semua dengan ramah serta lokasinya dekat dgn perbelanjaan semoga selalu melayani dgn hati terus dan rejekinya mengalir terus dan berkah
netral,roomsnya kurang oke kalo dibilang bintang biasanya kalo bintang ada hair dryer tapi makannya enak bervariasiiii
,kamar luas dan bersih sarapan enak banyak pilihan semua staf hotel ramah lokasi hotel dekat pusat perbelanjaan klo ke jogja pasti nginap lagi disini
,kamar oke sesuai ekspektasi pelayanan sigap dan staff sangat membantu terima kasih
,nice place to stay in jogja kamar cukup luas proses check in check out cepat menu breakfast ok bervariasi tiap harinya tapi tolong petugas di area breakfast ditambah krn buat bersihin meja harus nunggu lama kolam renang cukup luas
,lokasi sangat strategis dekat mall dan pusat perbelanjaan fasilitas nya sangat bagus kamar bersih makanan nya enak dan banyak variasi pelayananannya juga oke banget karyawan ramah dan helpfull
,stay disini sudah yg ketiga kali ya kamar bersih dan luas amenities lengkap staf ramah dan responsif akses sangat strategis krn di pusat kota rate terjangkau dan saya accor membership juga f b enak dan variatif terima kasih juga utk mba manis atas pelayanannya yg fast response
netral,secara desain interior hotelnya memang bisa dibilang oldschool tidak se modern hotel yang baru dibangun era sekarang tapi pelayanannya memuaskan stafnya ramah dan kamarnya juga bersih secara lokasipun dia tidak di lokasi yang padat hotel sehingga bisa merasakan menjadi penduduk lokal
,tempat di jalan utama mudah diakses didepan hotel banyak toko dan juga angkringan dekat dengan rumah sakit pelayanan baik kamar bersih ruang pertemuan besar dan bersih makanan sangat beragam dan selalu ada menu sup hangat
,all the best terutama waitress kak silkia di grand mercure yogya adisucipto pelayanannya the best ramah dan sigap dalam pelayanannya
,hotel yg dekat dengan bandara adi sucipto yogyakarta dari dalam kamar atau restonya bisa melihat view gunung merapi bila kondisi cerah fasilitasnya pun lengkap ada tpat gym dan kolam renang cuma lebih lengkap kalau ada kolam jacuzzi
,pelayanan baik rasa masakan enak sarannya menu tiap harinya bisa lebih variatif
,hotel terletak di jalur utama jalan adi sucipto dekat dengan bandara yogya yg lama bandara adisucipto menu breakfast bervariasi
,lokasi hotel strategis kemana mana relatif dekat staff ramah dan tanggap dalam memberikan pelayanan proses check in cepat kamar nya nyaman dan bersih lengkap banget ada bantal guling breakfastnya variatif dan rasanya enak enak kl kunjungan ke jogja lg insya allah bakal balik lg kesini
,sarapan lengkap hanya kurang dimsum semua sdh ok maaf di kamar kurang sedikit terang kalu berhias hrs ke kmr mandi yg lebih terang padahal kamar mandi dipakai perlu ada sisir di tdk ada overall semua ok
,menu sarapan rasanya enak enak ada banyak pilihan menu mantap mb lena
,terimakasih layanan hotel yang bagus sarapan dilayani mba nur anak magang dari lombok
,breakfast nya enak komplit
positif,hotel nyaman ramah dan makanan enak
,kamar nyaman pelayana ramah dan makanan enak positif lainnya lokasi berada ditengah kota dan mudah untuk dijangkau
,hotel ini nyaman dan lokasi cukup strategis cukup di tengah kora mau pergi kemana dekat pelayanan sangat ramah dan yang terpenting breakfastnya cukup komplit dan enak hanya satu yang cukup asin yaitu soup tomyam tapi overall hotel ini sangat recommended
,room service nya oke makanannya enak semua cendolnya recommended
positif,pelayanan oke makanan enak kamar bersih pokoknya mantep
,cukup bagus n biasanya selama di yogya pilihan htl grand mercure fasilitas n pelayanan ok utk restourant pelayanan oleh sdri lena sangat baik terus maju grand mercure
,sarapannya worhted banget semua lezat varian menunya lengkap rasanya mengakomodasi semua selera pelayanan luar biasa ruang meeting nyaman
,pelayanan di restorannya ramah dan makanannya enakk
positif,kamar hotel bersih nyaman menu makanan bervariasi dan enak
,baru pertama kali nginep di grand mercure over all semuanya oke banget pelayannya semua ramah mulai dari recepcionist sampai ke bagian restonya menu makanan bervariasi mulai dari makanan daerah sampai makanan barat ada mau salad bubur manis bubur ayam nasi dan banyak lagi variannya semuanya bagus banget
positif,hotel nya mewah strategis dan makanan nya enak
,enak menu restorannya tapi kamarnya mungkin perlu revisi ulang agar tambah bagus dan bersih dan lampu penerangan kurang terang
,pelayanan sangar ramah tanpa adanya pegawai yang handal hotel ini tidak akan jadi sesempurna ini recommended buat yang mau ke yogjakarta
,tempetnya oke kamarnya bersih harganya juga murah nuansa jogja nya dapet bnget best si
,sarapannya enak lokasi strategis dibantu oleh citra pelayanan baik
positif,sarapan menunya lengkap enak dari minuman makanan menu tambahan lain sangat rekomended pelayanya ramah santun dibantu traning lena
positif,tempatnya nyaman menu enak pelayanannya ramah mbak salma
positif,lokasinya yang mudah pelayanannya bagus kamarnya luas tempatnya nyaman makanan enak
,pengalaman yang mengesankan pelayanannya ramah mantap baru kali ini dapet pelayanan yang bagus lebih bagus dari hotel laiinya
netral,hotel yg cukup nyaman staffnya ramah liftnya kenceng wifinya bagus tanpa pasword minus kolamnya mini cuma meter
,bareng temen kantor buka bersama disini varian menu cukup banyak menu nusantara menu timur tengah juga ada full service
positif,kamar bersih nyaman layanan staff serba cepat dan menyenangkan reception ramah lokasi ditengah kota mudah dijangkau
positif,staff nya baik bgt recomended buat temen temen yang mau eksplor jogja karna lokasinya yg deket sm pusat kota kamarnya juga nyaman dan bersih
positif,pengalaman menginap dengan pelayanan yang sangat luar biasa bahkan barang tertinggal pihak hotel mau melayani pengiriman barang dengan baik
positif,saya mencoba buka bersama di mercure hotel dan makanannya mengesankan rasanya enak terutama yang kambing guling dan tongseng enak empuk dan tidak bau servicenya juga ramah dan bagus
,hotel yg nyaman sekali kasur bantal empuk dan ada gulingnya sangat nyaman tidurnya sarapan menu macam enak staff hotelnya ramah dan semua ruangan wangi bersih top pokoknya jangan ragu untuk menginap dihotel ini terimakasih untuk semuanya kami sangat senang dan nyaman menginap disini
,pelayanan sangat baik pegawainya ramha menawarkan pelayanan makanan dan sangat profesional terbaik pokoknya sangat direkomendasikan menginap disini
positif,hotel dan pelayanan nya baik makanan nya bervariasi enak terimakasih untuk mbak salma
positif,fasilitas sangat baik makanan di breakfast juga sangat beragam overall sangat ok
negatif,untuk standar hotel bintang masih kurang sih kebersihan kamar perlu ditingkatkan lokasi enak dekat dgn rs siloam kalo ada kerabat yg dirawat di sana
negatif,terjadi insiden di lobby dimana mobil yang saya bawa ditabrak mobil lain karena kelalaian satpam yg atur lalu lintas
,dari lobi kamar resto interiornya bagus menunjukkan budaya yogyakarta kamar nyaman utk menu makanan saran saya utk perwedangan jangan dicampur dulu gulanya karna kalo menurut terlalu manis makasih
,menu sarapan sangat bervariasi kamar sangat bersih unik furniture pengkap
,sarapan paginya sangat enak dan layanan atas nama fifin baik dan ramah saya sangat puas
,makanan dan minuman nya banyak banget pelayanannya juga juga bagus terutama mbak devita
,mbak tania pelayanan ramah sangat sigap menu breakfast enak tempat nyaman dan rapi
,pelayanan resepsionis ramah untuk dine in room jg enak dengan kedatangan pukul malam masih bisa order dine in room breakfast jg banyak pilihannya dan menu nya enak
,saya menginap malam disini kamarnya cukup baik dengan rate harga nya namun tidak juga dengan kamar mandinya breakfast variasi menunya yang menurut saya bagus namun tidak dengan ikannya lokasi hotel ini sangat strategis sehingga saya
positif,stay di sini karena ada kebutuhan pekerjaan staff nya ramah ramah dan bikin betah saya senang ngobrol dengan staff staff nya terima kasih juga mbak rosvina atas bantuan dan pelayanan nya yang luar biasa excellent service
negatif,mohon untuk wc di area parkir basemant di perhatikan sangat sangat sangat tidak layak di pakai kloset banyak kotoran m
positif,tempat nyaman indah makanannya mantap pelayanan oke
,lokasi di tengah kota dekat kemana menu sarapan lengkap dan variatif mulai dari western breakfast sampai makanan tradisional termasuk jamu dan jajanannya worth to try
,kamarnya bagus makanan direstaurannya enak
netral,first impressionnya adalah pintu kamar mandi yang alot digeser dan wastafel yg sering bocor tetapi setelah kembali sudah diperbaiki dengan sangat baik sehingga tidak ada kerusakan
,hotel di tempat strategis jantung kota yogyakarta yang sibuk pelayanan baik dimulai reception yg fast respon room service yg cepat membersihkan kamar dan operator yg cekatan kamar agak sempit menurut saya apalagi bagian lemari yg
,untuk makananya enak semua untuk kamar dan pelayanannya ramah betah menginap sendiri dibantu oleh trainingnya mbak lena
,excelent room kamarnya bagus breakfast nya enak ada makanan jawa
negatif,drop off lobby kurang nyaman parkir mobil sulit kurang luas
,penyajiannya baik pelayanannya ramah makanannya banyak pilihan dan enak tempatnya nyaman viewnya bagus ramah buat anak anak
positif,hotelnya bersih nyaman makanan enak pelayanan bagus ramah
,kamar yang nyaman ruang meeting besar dan yang paling suka breakfast nya semua enak banget
,saya member dari accor plus yang sudah berlanggana bertahun tetapi disaat saya pesan melalui aplikasi tanpa disadari saya memesan menggunakan yang stay plus dan sesudah saya sadari saya memakai stayplus maka saya mengcancel pesanan
,menu nya breakfast enak dan lengkap
,hotel enak dan lokasinya ditengah kota kemana deket kamarnya nyaman pelayan semua ok makanannya variatif dan enak yuuk liburan nginep di grand marcure
,sambel lalapan mbok mi enak makanan juga banyak pilihanya pelayanan sangat bagus disini harus dipertahankan the best grand mercure
positif,kamarnya luas dan interiornya bagus menu makanannnya beragam ada jamu juga disediakan saat sarapan pelayanan hotelnya ramah dan lokasi strategis
,staff nya sangat helfull terutama mba aztuti mba nur makanan enak kamarnya bersih luas
,interiornya bagus bgt hotelnya nyaman makanannya lumayan enak
,senang sekali saya menginap disini
,berkesempatan di hotel ini hari hari pertama dan kedua sy menikmati dari pelayanan dan sajiannya semoga hari tiga dan keempat juga bisa menikmati lagi
,pelayanannya oke viewnya keren
negatif,kami request non smoking tapi dapat yang smoking dikamir bau rokok kuat banget
,pelayanan ramah lokasi menawarkan nuasa jogja dengan tingkat kebersihan baik lokasi strategis untuk mengakses ke dalam kota pilihan makanan bervariasi dan kreatif dalam rolling menu
,hotel dengan dengan plaza ambarrukmo sekitar menit kalo jalan kaki termasuk dekat dengan pusat kota pilihan yg bagus untuk berlibur krn harga kamar nya yg tdk terlalu mahal
,untuk sarapan sangat bervariatif kamar bersih dan sangat nyaman untuk pelayanan thania sangat ramah dan baik
,pengalaman menginap yang mengesankan reservasi yang mudah staf yang ramah serta servis yang memanjakan tamu terimakasih recommended
,bagus hotel pemandangannya pegunungan dan sarapan enak
,good semuanya staffnya juga ok dan membantu
,dari agen travel jogya sangat mudah dijangkau ruangan bersih kamar mandi bersih kamar juga luas
,hotelnya bagus kamar ok makanan enak dan lengkap pelayanan baik di resepsionis dan restoran juga baik excellence
netral,untuk kamar cukup bersih room service cepat tanggap lokasi cukup strategis tambahan saja untuk lokasi pintu masuk dan pintu keluar lebih baik jika tanda nya dibuat lebih besar terutama tanda lokasi in tertutup oleh pohon sehingga tidak terlihat jelas
,bagus sekali pelayanan di hotel ini lokasi strategis mudah dijangkau dan menunya worth it
positif,lokasi strategis kamar bagus pelayanan staf hotel baik dan ramah
,ruangannya nyaman sarapannya enak pelayanan bagus lokasi juga strategis dekat dengan berbagai fasilitas umum so far i like being there
,breakfast nya enak kamar rapi pelaganan sangat baik ada kolam renang yg luas
,menu sarapannya lengkap bgt petugas pelayannya juga baik baik kamar bersih nyaman
,
,tempat yang sangat indah untuk istirahat dilengkapi dg furniture yang estetik dan lagi dekat ke malioboro kita seperti sedang berwisata pokoknya recommended banget
,lokasi strategis pelayanan bagus
,kamar seeh luas ya pelayanannya juga ramah dan gercep lokasi juga dekat dgn minimarket sayang makanannya masih kurang beragam dan rasanya tdk terlalu wah pengen ambil lagi
,pelayanan staff fifin baik dan ramah breakfastnya juga enak recommended buat yang mau nginap di jogja
,pelayanan yang sangat baik serta prasmanan yang bgitu menarik dan nyaman
netral,lokasi cukup jauh dari bandara jadi harus take time untuk layanan dan kamar sudah sempurna
positif,sangat puas layanan sangat prima dan kualitas tidak mengecewakan
,mungkin masukan untuk customer service bagian reservasi lewat telepon juli sekitar jam untuk jawaban atas pernyataan yaitu kita telpon untuk menanyakan harga kamar permalam harga kamar start from rb sedangkan di telpon
,makanan oke banyak pilihan mulai dari yg tradisional sampai western kamar oke bersih pelayanan mantep
negatif,hotel sebesar ini banquet cuma org mau showing untuk event aja sampe ditinggal gara ga dateng padahal showing ga sampe menit mau ngadain event besar lgs kena bad impression dengan servisnya
,first time nginep disini nyaman banget suasana tenang bersih fasilitas mewah pelayanan ramah bangetttt
,alhamdulillah ngangeni bermalam di grand mercure yogya selalu mampir tiap ke yogya sukses selalu grand mercure
,pelayanannya ramah skali kami ditawari kopibatau minuman lain telur dadarnya enak karena ada temannya sosis ruangan restonya dingin nyaman ya over all sip skali salut
,berkunjung di grand mercure yogyakarta untuk pertama kalinya nuansa dan kesan pertama untuk lobbynya cukup artistik dekorasinya full tanpa celah
positif,kualitas hotel yang baik makanan dan minuman nya enak sekali pelayanan sangat baik dan ramah
,hotelnya bersih makanan oke suasana juga okee banget pelayanan mantaaap untuk reception mbak endah anda luar biasa sangat membantu responsif ramah dan yang paling penting sangat sabar good job
,nyaman seru bersih breakfast lengkao
,tersedia guling dan bantal kecil sehingga tidur lebih nyenyak dan tenang
positif,tempat nya bagus pelayanan nya juga sangat ramah dan baik
,menunya lengkap banget top dahh
,kedua xnya nginap disini nyaman menginap disini kamar bersih
negatif,room cukup lega namun air shower kecil banget suara berisik dari instalasi ac dan renovasi tembus sampai ke dalam kamar makanan enak namun variasi menu minim
,sarapannya enak lengkap ada gudeg juga kamar nyaman spacious bersih petugas jg ramah
negatif,hati hati mandi di kamar mandi kolam renang saya terkunci gak bisa keluar untung bawa handphone bisa telpon hotel kasihan kalau anak kecil dan orang yg klostrophobia dan tidak bisa hubungi siapa siapa saat terkunci dan tidak ada jalan keluar
,saya senang sekali menginap di sini kamarnya nyaman air panas berfungsi dgn baik staffnya ramah dan helpfull semua breakfastnya variatif dan enak semua saat sy ad masukan langsung di respon dgn baik bakal balik lagi kesni thanks grand mercure
positif,hotelnya bagus bersih pelayanan ramah makanannya enak
positif,pelayanan sangat baik dan ramah
positif,pelayanannya bagus kamar dan sarapannya juga puas
,pelayanan prima rasa bintang mantab restonya higienis enak sarapanya bikin kangen nyamaan dilidah pelayanya ramah khusunya mbak thania yang ramah dan pintar menjelaskan tentang resto
,breakfast nya enak
,sarapan bagus karena rasa sesuai dan banyak variasi
,atas nama silkia dari unit restoran breakfast sangat ramah dan membantu
,pelayanannya sangat baik dan bagus serta makanannya recomended
,saat edutrip sekolah saya pergi ke hotel ini untuk bermalaman saat masuk saya sangat kagum dengan interior tempatnya staffnya juga sangat ramah mereka murah senyum di saat sarapan makanannya pun lezat
