Label,Casefold,processed,label_encoded
positif,hotel dan pelayanan nya baik makanan nya bervariasi enak terimakasih untuk mbak salma,hotel layan baik makan variasi enak terimakasih salma,2
positif,fasilitas sangat baik makanan di breakfast juga sangat beragam overall sangat ok,fasilitas sangat baik makan sarap sangat agam semua sangat baik,2
negatif,untuk standar hotel bintang masih kurang sih kebersihan kamar perlu ditingkatkan lokasi enak dekat dgn rs siloam kalo ada kerabat yg dirawat di sana,standar hotel bintang masih kurang bersih kamar perlu tingkat lokasi enak dekat rumah sakit siloam kalau kerabat rawat sana,0
negatif,terjadi insiden di lobby dimana mobil yang saya bawa ditabrak mobil lain karena kelalaian satpam yg atur lalu lintas,jadi insiden lobby mana mobil bawa tabrak mobil lain lalai satpam atur lalu lintas,0
positif,stay di sini karena ada kebutuhan pekerjaan staff nya ramah ramah dan bikin betah saya senang ngobrol dengan staff staff nya terima kasih juga mbak rosvina atas bantuan dan pelayanan nya yang luar biasa excellent service,stay sini butuh kerja staff ramah ramah bikin betah senang ngobrol staff staff terima kasih rosvina atas bantu layan luar biasa excellent service,2
negatif,mohon untuk wc di area parkir basemant di perhatikan sangat sangat sangat tidak layak di pakai kloset banyak kotoran m,mohon wc area parkir basemant perhati sangat sangat sangat layak pakai kloset banyak kotor,0
positif,tempat nyaman indah makanannya mantap pelayanan oke,tempat nyaman indah makan mantap layan baik,2
netral,first impressionnya adalah pintu kamar mandi yang alot digeser dan wastafel yg sering bocor tetapi setelah kembali sudah diperbaiki dengan sangat baik sehingga tidak ada kerusakan,first impressionnya adalah pintu kamar mandi alot geser wastafel sering bocor tetapi telah kembali baik sangat baik sehingga rusa,1
negatif,drop off lobby kurang nyaman parkir mobil sulit kurang luas,drop off lobby kurang nyaman parkir mobil sulit kurang luas,0
positif,hotelnya bersih nyaman makanan enak pelayanan bagus ramah,hotel bersih nyaman makan enak layan bagus ramah,2
positif,kamarnya luas dan interiornya bagus menu makanannnya beragam ada jamu juga disediakan saat sarapan pelayanan hotelnya ramah dan lokasi strategis,kamar luas interior bagus menu makananya agam jamu sedia saat sarap layan hotel ramah lokasi strategis,2
negatif,kami request non smoking tapi dapat yang smoking dikamir bau rokok kuat banget,request non smoking dapat smoking kamir bau rokok kuat banget,0
netral,untuk kamar cukup bersih room service cepat tanggap lokasi cukup strategis tambahan saja untuk lokasi pintu masuk dan pintu keluar lebih baik jika tanda nya dibuat lebih besar terutama tanda lokasi in tertutup oleh pohon sehingga tidak terlihat jelas,kamar cukup bersih room service cepat tanggap lokasi cukup strategis tambah lokasi pintu masuk pintu keluar lebih baik jika tanda buat lebih besar utama tanda lokasi in tutup oleh pohon sehingga lihat jelas,1
positif,lokasi strategis kamar bagus pelayanan staf hotel baik dan ramah,lokasi strategis kamar bagus layan staf hotel baik ramah,2
netral,lokasi cukup jauh dari bandara jadi harus take time untuk layanan dan kamar sudah sempurna,lokasi cukup jauh bandara harus take time layan kamar sempurna,1
positif,sangat puas layanan sangat prima dan kualitas tidak mengecewakan,sangat puas layan sangat prima kualitas kecewa,2
negatif,hotel sebesar ini banquet cuma org mau showing untuk event aja sampe ditinggal gara ga dateng padahal showing ga sampe menit mau ngadain event besar lgs kena bad impression dengan servisnya,hotel besar banquet cuma orang showing event sampe tinggal gara dateng padahal showing sampe menit ngadain event besar lgs kena bad impression servis,0
positif,kualitas hotel yang baik makanan dan minuman nya enak sekali pelayanan sangat baik dan ramah,kualitas hotel baik makan minum enak sekali layan sangat baik ramah,2
positif,tempat nya bagus pelayanan nya juga sangat ramah dan baik,tempat bagus layan sangat ramah baik,2
negatif,room cukup lega namun air shower kecil banget suara berisik dari instalasi ac dan renovasi tembus sampai ke dalam kamar makanan enak namun variasi menu minim,room cukup lega namun air shower banget suara berisik instalasi ac renovasi tembus sampai kamar makan enak namun variasi menu minim,0
negatif,hati hati mandi di kamar mandi kolam renang saya terkunci gak bisa keluar untung bawa handphone bisa telpon hotel kasihan kalau anak kecil dan orang yg klostrophobia dan tidak bisa hubungi siapa siapa saat terkunci dan tidak ada jalan keluar,hati hati mandi kamar mandi kolam renang kunci bisa keluar untung bawa handphone bisa telpon hotel kasihan kalau orang klostrophobia bisa hubung siapa siapa saat kunci jalan keluar,0
positif,hotelnya bagus bersih pelayanan ramah makanannya enak,hotel bagus bersih layan ramah makan enak,2
positif,pelayanan sangat baik dan ramah,layan sangat baik ramah,2
positif,pelayanannya bagus kamar dan sarapannya juga puas,layan bagus kamar sarap puas,2
positif,lokasi hotel cukup strategis pelayanan cukup baik menu beragam dan cukup enak,lokasi hotel cukup strategis layan cukup baik menu agam cukup enak,2
positif,tempatnya strategis pelayanan bagus semua ramah,tempat strategis layan bagus semua ramah,2
positif,hotel bintang yang cukup baik cocok buat liburan keluarga makannya enak karyawan sangat ramah suasana yang nyaman dan adem cukup memuaskan,hotel bintang cukup baik cocok libur keluarga makan enak karyawan sangat ramah suasana nyaman adem cukup muas,2
netral,overall sudah baik cuma ada beberapa yang masih bisa perlu ditingkatkan mulai dari jatah air minum yang bisa diperbanyak ketanggapan petugas dalam menangani komplain dari konsumen dan perbaikan untuk fasilitas kamar mandi yang perlu diperhatikan makanan semuanya enak dan pelayanan sangat ramah dan bagus,semua baik cuma beberapa masih bisa perlu tingkat mulai jatah air minum bisa banyak tanggap tugas tangan komplain konsumen baik fasilitas kamar mandi perlu perhati makan semua enak layan sangat ramah bagus,1
negatif,pesan kamar untuk malam dengan extrabed malam terakhir tanpa konfirmasi extrabed di take out dari kamar sudah full payment diawal alasan nya salah input kami balik kerja pukul,pesan kamar malam extrabed malam akhir tanpa konfirmasi extrabed take out kamar full payment awal alas salah input balik kerja pukul,0
netral,secara kamar udah bagus tapi mungkin ac nya sedikit kendala yak karena harus atur manual juga untuk tirai di kamar mandi saya sempat mengalami kendala but overall sudah bagus,cara kamar udah bagus mungkin ac sedikit kendala harus atur manual tirai kamar mandi sempat alami kendala but semua bagus,1
netral,makan malam tanggal juni di acara kantor di sini tahu gejrotnya kurang pedas untuk saya tapi seafood lada hitamnya sangat berasa lupa foto sebelum makan jadi fotonya pas udah mau abis aja,makan malam tanggal juni acara kantor sini tahu gejrotnya kurang pedas seafood lada hitam sangat rasa lupa foto belum makan foto pas udah abis,1
positif,pelayanan staf ramah kamarnya nyaman,layan staf ramah kamar nyaman,2
positif,hotel yang nyaman serta pelayanan yang ramah,hotel nyaman layan ramah,2
positif,kamar bersih makanan enak pelayanan nya juga raman dan baik,kamar bersih makan enak layan ram baik,2
positif,tempatnya sangat baik dan bersih makanan dan minumannya juga sangat enak dan memuaskan,tempat sangat baik bersih makan minum sangat enak muas,2
negatif,kamarnya bersih nyaman ada guling tv channel lumayan ok cuman belum hd makanan ok soso staff wanita ramah entah kenapa yg cowo jutek hal yg kecil tapi menurut ku rada greget pemilihan interior restaurant yg kurang matching dari,kamar bersih nyaman guling televisi channel lumayan baik cuman belum hd makan baik soso staff wanita ramah entah kenapa cowo jutek hal turut rada greget pilih interior restaurant kurang matching,0
positif,hotel nya bersih sarapan nya juga lengkap service nya juga memuaskan,hotel bersih sarap lengkap service muas,2
positif,kamarnya bersih nyaman dan makannya enak lokasi strategis deket mau kemana mana,kamar bersih nyaman makan enak lokasi strategis deket mana mana,2
positif,pelayanan baik staff hotel ramah hotel luas dan memiliki fasilitas yang lengkap kamar bersih dan luas kasur nyaman hidangan yang disajikan juga beragam mulai dari appetizer hingga dessert dan enak rasanya,layan baik staff hotel ramah hotel luas milik fasilitas lengkap kamar bersih luas kasur nyaman hidang saji agam mulai appetizer hingga dessert enak rasa,2
positif,layanan hotel grand mercure yogyakarta secara umumnya sangat memuaskan kamarnya sangat bersih dan rapi makanannya juga enak dan banyak variannya pertahankan layanan prima ini,layan hotel grand mercure yogyakarta cara umum sangat muas kamar sangat bersih rapi makan enak banyak varian tahan layan prima,2
positif,pertama bermalam di grand mercure jogja kamar tidurnya nyaman buat tidur nyenyak banget,pertama malam grand mercure jogja kamar tidur nyaman tidur nyenyak banget,2
negatif,bad service udah reservasi bukber dari jauh hari survey langsung tanggal maret buat nentuin tempat duduk karena bawa banyak orang dan diokein sama stafnya tapi di hari acara tiba request tempat duduk yang sudah disepakati tidak,bad service udah reservasi buka sama jauh hari survey langsung tanggal maret nentuin tempat duduk bawa banyak orang diokein sama staf hari acara tiba request tempat duduk pakat,0
negatif,saya menginap september anak saya tahun di kamar kena paku payung sepertinya dari salah satu kursi kamar kurang ok maintenance nya,inap september tahun kamar kena paku payung seperti salah satu kursi kamar kurang baik maintenance,0
negatif,dari lift yang ada hanya yang beroperasi di long weekend bobrok banget managementnya gaada persiapan mateng bgt ngadepin long weekend bayar mahal cuman buat nunggu lift sekelas mercure lohh,lift hanya operasi long weekend bobrok banget managementnya gaada siap mateng banget ngadepin long weekend bayar mahal cuman nunggu lift kelas mercure lohh,0
netral,pelayanan ramah kesini karena acara rapat evaluasi bawaslu kabupaten hotelnya luas toilet bersih ballroom luas uniknya di lift engga ada akses ke lantai jadi sempat bingung pas mau cari mushola yang kata temenku ada di lantai,layan ramah kesini acara rapat evaluasi bawaslu kabupaten hotel luas toilet bersih ballroom luas unik lift engga akses lantai sempat bingung pas cari mushola kata temenku lantai,1
positif,suasananya enak nyaman saya suka menu sarapannya bervariatif apalagi sama jajanan khas jawanya ada jamunya juga recomended,suasana enak nyaman suka menu sarap variatif apalagi sama jajan khas jawanya jamu recomended,2
negatif,mengikuti sebuah acara di ballroom pulang jam malam parkiran b dan jalan menuju pintu keluar gelap parkir berbayar mahal sampai di depan hanya ada security di pintu masuk tidak ada yang membantu di pintu keluar padahal lalu lintas padat berbeda saat lewat ke hotel sebelahnya,ikut buah acara ballroom pulang jam malam parkir jalan tuju pintu keluar gelap parkir bayar mahal sampai depan hanya security pintu masuk bantu pintu keluar padahal lalu lintas padat beda saat lewat hotel belah,0
positif,makanan dan layanan hotel bagus semoga bisa kembali ke hotel ini,makan layan hotel bagus moga bisa kembali hotel,2
netral,makananya enak kamar nya oke namun yg kurang bagi saya adalah kebersihan karena sy sering sekali menginap di mercure bandung jakarta itu sangat luar biasa bersih,makananya enak kamar baik namun kurang bagi adalah bersih sering sekali inap mercure bandung jakarta sangat luar biasa bersih,1
positif,menurutku sih hotel ini emang berkualitas banget sepadan dengan harganya pelayanan juga ramah banget makanan yang disajikan sangat unik enak dan beraneka ragam boleh sih ini rekomended banget buat yang mau healing,turut hotel emang kualitas banget padan harga layan ramah banget makan saji sangat unik enak aneka ragam boleh rekomended banget healing,2
positif,tempat strategis tidak jauh dari bandara adi sucipto kamar bersih dan nyaman dari segi hidangan juga enak pelayanan ramah dan harmonis dari kak thania layak untuk dicoba,tempat strategis jauh bandara adi sucipto kamar bersih nyaman segi hidang enak layan ramah harmonis layak coba,2
positif,menyenangkan untuk semua pelayanannya baik breakfast dan kamarnya terimakasih banyak mba silvia atas pelayanannya,senang semua layan baik sarap kamar terimakasih banyak atas layan,2
positif,room bersih menu lengkap kolam renang nyaman pelayanan ramah,room bersih menu lengkap kolam renang nyaman layan ramah,2
positif,tempatnya nyaman fasilitas lengkap,tempat nyaman fasilitas lengkap,2
negatif,overall ok kamar nyaman lokasi pinggir jalan akses mudah utk resto menu makanan variatif selalu available selalu direfill lay out duduk ok pelayanan ok waitress cepat dan responsif untuk fasilitas sayang kolam renangnya under construction jd kurang nyaman dan tidak semua lift difungsikan jd harus menunggu,semua baik kamar nyaman lokasi pinggir jalan akses mudah resto menu makan variatif selalu available selalu direfill lay out duduk baik layan baik waitress cepat responsif fasilitas sayang kolam renang under construction kurang nyaman semua lift fungsi harus tunggu,0
negatif,jejaring accor yg kurang baik utk pelayanan checkin di dini hari tidak ada yg standby membawa semua barang sendiri tdk ada satpam shower air panas yg baru panas setelah dibiarkan mengalir selama,jejaring accor kurang baik layan checkin dini hari standby bawa semua barang sendiri satpam shower air panas baru panas telah biar alir lama,0
negatif,tempat tidurnya agak bikin gatal kamarnya luas kulkasnya gak dingin ac nya gak dingin lokasinya enak di tengah kota,tempat tidur agak bikin gatal kamar luas kulkas dingin ac dingin lokasi enak tengah kota,0
negatif,pelayanan ramah makanan enak hanya smooking room yang tersedia pendingin ruangan tidak bisa dikontrol suhunya dingin banget,layan ramah makan enak hanya smooking room sedia dingin ruang bisa kontrol suhu dingin banget,0
negatif,suasana ruangan kamar suram pintu kamar mandi rusak tidak bisa tertutup rapat miris untuk sekelas hotel bintang lima cocoknya hotel bintang tiga ini sangat mengecewakan,suasana ruang kamar suram pintu kamar mandi rusak bisa tutup rapat miris kelas hotel bintang lima cocok hotel bintang tiga sangat kecewa,0
negatif,in room diningnya enak bgt buat pesen di kamar nasi goreng ayam bawang putih tapi breakfastnya agak kurang bubur mutiara kemanisan pancakenya krn gak dibikin fresh jadi dingin terus ditinggal gt aja gaada yg bikin baru lagi fresh,in room ning enak banget pesan kamar nasi goreng ayam bawang putih breakfast agak kurang bubur mutiara manis pancakenya bikin fresh dingin terus tinggal gt gaada bikin baru lagi fresh,0
negatif,dibagian restonya beberapa gelas masih ada bekas lipstiknya dan bau amis refil buffe makanan menunggu lama mungkin kedepannya lebih diprepare lagi agar tamu tidak menunggu lama untuk makan,bagi restonya beberapa gelas masih bekas lipstik bau amis refil buffe makan tunggu lama mungkin depan lebih diprepare lagi tamu tunggu lama makan,0
negatif,awalnya mau menginap malam tapi hanya malam saja breakfastnya kurang memuaskan main course beberapa tidak hangat atau panas saya coba pastry agak keras digigit stall omlete antre cukup lama ketika check out tgl jan,awal inap malam hanya malam breakfast kurang muas main course beberapa hangat panas coba pastry agak keras gigit stall omlete antre cukup lama ketika check out tanggal jan,0
netral,hotel mudah dijangkau dari stasiun bersih harum stafnya semua ramah makanan variatif dan enak sayangnya late check out cuma sampai biasanya bisa di tapi ga masalah overall sangatt oke,hotel mudah jangkau stasiun bersih harum staf semua ramah makan variatif enak sayang late check out cuma sampai biasa bisa masalah semua sangat baik,1
netral,untuk kamar nyaman hanya saja untuk tekhnisii memperhatikan segi fasilitas seperti toilet selebihnya sangat memuaskan,kamar nyaman hanya tekhnisii perhati segi fasilitas seperti toilet lebih sangat muas,1
negatif,hotel terlalu baik masa saya pesen kamar nomer masi ada orangnya saya komplain ke resepsionis dan keliatan bingung juga lalu lift juga sering eror pencrt tombol lantai malah ke lantai gimana ini grand mercure masa hotel bintang pelayanan seperti ini,hotel terlalu baik masa pesan kamar nomer mas orang komplain resepsionis liat bingung lalu lift sering eror pencrt tombol lantai malah lantai gimana grand mercure masa hotel bintang layan seperti,0
negatif,kecewa udh reservasi udh bela in datang langsung seminggu sebelumnya untuk milih tempat buat bukber sudah deal tp tanpa dikonfirmasi tempat yg udh kita pesan dikasih ke rombongan lain dan kami dikasih tempat di pojokan yg sempit banget gak banget lah,kecewa reservasi bela in datang langsung minggu belum milih tempat buka sama tuju tanpa konfirmasi tempat pesan kasih rombong lain kasih tempat pojok sempit banget banget lah,0
negatif,pelayanan cukup bagus tapi untuk keamanan nya sangat kurang terjadi insiden helm hilang jobdesk security kurang maksimal tolong untuk keamanan lebih dijaga lagi dan jobdesk mengenai tanggungjawabnya nyaman tapi keamanan kurang juga membuat pengunjung hotel jadi was was,layan cukup bagus aman sangat kurang jadi insiden helm hilang jobdesk security kurang maksimal tolong aman lebih jaga lagi jobdesk kena tanggungjawabnya nyaman aman kurang buat unjung hotel was was,0
negatif,sebagai penyandang hotel bintang rasa nya seperti bintang saja kamar ngadep beton perabotan kuno sudah minta lantai atas dan kamar dengan view di aps masih aja dikasi yg ngadep beton sarapan juga dibanding gram dan harus,sandang hotel bintang rasa seperti bintang kamar ngadep beton perabot kuno minta lantai atas kamar view aps masih kasi ngadep beton sarap banding gram harus,0
netral,kesana krn ada acara jadi tidak paham bgmn kamarnya tp pelayanan bagus makanan standar aja,kesana acara paham bgmn kamar layan bagus makan standar,1
negatif,kamar pertama kali masuk baunya kyk pengap lembab krn lama gak dipakai kamar mandi juga gak terlalu bersih tp utk makanan dan pelayanan ok dan baik so far so good,kamar pertama kali masuk bau kyk pengap lembab lama pakai kamar mandi terlalu bersih makan layan baik baik so far so good,0
negatif,nginep disini jangan berekspektasi seperti hotel bintang lainya dapet view tembok bayar mahal hanya untuk liat tembok sedih si rasanya stok tisu di kamar ngga ada,nginep sini jangan berekspektasi seperti hotel bintang lai dapat view tembok bayar mahal hanya liat tembok sedih rasa stok tisu kamar,0
negatif,lokasi bagus di pusat kota makanan resto kurang enak dan menarik terutama di bagian nasi dkk untuk buah,lokasi bagus pusat kota makan resto kurang enak tarik utama bagi nasi dkk buah,0
negatif,makanan ok cuma kurang banyak menu kamar bintang tp kurang lengkap gak ada hair dryer dan setrika,makan baik cuma kurang banyak menu kamar bintang kurang lengkap hair dryer setrika,0
negatif,hotel bintang makanan enak ada pool nya bagus sayang ac nya kurang dingin jadi panas bgt dan spreinya juga pas aku datang sedikit kotor jadi bikin gatal di kulit,hotel bintang makan enak bagus sayang ac kurang dingin panas banget spreinya pas datang sedikit kotor bikin gatal kulit,0
negatif,makanan enak layanan bagus kamar bau rokok mgkn sblmnya ada yg merokok internet di kamar lambat banget tv ga jernih kabur bintik,makan enak layan bagus kamar bau rokok mgkn sblmnya rokok internet kamar lambat banget televisi jernih kabur bintik,0
netral,salah satu hotel dengan lokasi yang cukup strategis di jogja cocok untuk tamu yang ingin menginap di tempat yang dekat dengan tempat wisata tempat makan dan mall hanya lokasi yang rawan macet,salah satu hotel lokasi cukup strategis jogja cocok tamu ingin inap tempat dekat tempat wisata tempat makan mall hanya lokasi rawan macet,1
negatif,hotel yg lumayan mewah sayangnya kami dapat kamar di kelas superior yg bagian terasnya menghadap tembok sprei tidak diganti kalaublita tidak meminta kamar mandi ada aroma pesing karena exhaust nya tidak menyala utk servis dan yg,hotel lumayan mewah sayang dapat kamar kelas superior bagi teras hadap tembok sprei ganti kalaublita minta kamar mandi aroma pesing exhaust nyala servis,0
negatif,makanan enakk service okee menu banyak variasi tapi ac tidak nyala jd las makan panas suasanya,makan enak service okee menu banyak variasi ac nyala las makan panas suasa,0
negatif,saya seorang driver rental yg sedang menunggu customer dihotel kantin yg dikhususkan cuma untuk karyawan dan cari makan minum harus keluar jauh tidak boleh di kantin hotel yg khusus untuk karyawan,orang driver rental sedang tunggu customer hotel kantin khusus cuma karyawan cari makan minum harus keluar jauh boleh kantin hotel khusus karyawan,0
negatif,so far so good untuk varian sarapan bs ditambah ya datang pas high season jadi resto penuh sama orang kantoran yg lg acara susah banget cari tempat duduk ada kendala saat balik acara akses pintu mati semua jadi harus turun ke,so far so good varian sarap tambah datang pas high season resto penuh sama orang kantor lagi acara susah banget cari tempat duduk kendala saat balik acara akses pintu mati semua harus turun,0
negatif,pelayanan managemen untuk buka puasa sangat mengecewakan sudah reservasi sejak maret dan maret survey langsung ke lokasi pilih tempat untuk orang dan sudah deal saat bukber di tgl maret ternyata dipindah tempatnya pojokan,layan managemen buka puasa sangat kecewa reservasi sejak maret maret survey langsung lokasi pilih tempat orang tuju saat buka sama tanggal maret nyata pindah tempat pojok,0
negatif,fasilitas dan pelayanan tidak layak untuk hotel bintang akses dan area parkir sempit check in hampir jam baru dapat kamar welcome drink tidak ada sprei kualitas kurang kamar mandi terutama shower sempit,fasilitas layan layak hotel bintang akses area parkir sempit check in hampir jam baru dapat kamar drink sprei kualitas kurang kamar mandi utama shower sempit,0
negatif,service parah saat iftar piring membludak petigas malah senyum lalu pada kabur kaburan ngambilin piring receptionist hotel juga ngeselin gak bisa bantu early checking padahal sudah request jauh jauh hari bisa penyampaiannya pun gak mengenakkan hati,service parah saat iftar piring membludak tigas malah senyum lalu kabur kabur ngambilin piring receptionist hotel ngeselin bisa bantu early checking padahal request jauh jauh hari bisa sampai enak hati,0
negatif,parkiran motor tidak aman padahal berada di dalam gedung uang recehan saya yg buanyaak hampir penuh di dasbor motor habis tak bersisa dicuri semua motor teman jg dibuka joknya jd tau krn joknya mmg susah nutupnya,parkir motor aman padahal ada gedung uang receh buanyaak hampir penuh dasbor motor habis tak sisa curi semua motor teman buka jok tau jok mmg susah nutupnya,0
positif,hotel yang nyaman untuk kerja atau liburan bersama keluarga kamarnya nyaman dan pelayanan yang sangat memuaskan,hotel nyaman kerja libur sama keluarga kamar nyaman layan sangat muas,2
negatif,menginap di kamar terdapat bathub di kamar mandinya sudah menutup bathub dengan tirai shower dan mencoba berbagai pengaturan shower air dari shower tetap keluar dari area bathub menggenang di area kloset duduk yg seharusnya kering sepertinya area bathub perlu di desain ulang,inap kamar dapat bathub kamar mandi tutup bathub tirai shower coba bagai atur shower air shower tetap keluar area bathub genang area kloset duduk harus kering seperti area bathub perlu desain ulang,0
negatif,proses check hampir jam booking kamar setelah proses check in hapir jam yg masih siap hanya kamar,proses check hampir jam booking kamar telah proses check in hapir jam masih siap hanya kamar,0
negatif,first of all waktu baru masuk ke lobby pengharum ruangannya terlalu pekat sepertinya kalau dikurangi akan lebih nyaman,first of all waktu baru masuk lobby harum ruang terlalu pekat seperti kalau rang lebih nyaman,0
negatif,kondisi kamar bersih nyaman untuk istirahat tapi ac gk bisa dikecilin terlalu dingin,kondisi kamar bersih nyaman istirahat ac bisa dikecilin terlalu dingin,0
negatif,stay disini malam order by travel agent dan pilih room dengan balkon pas sampe room yg dikasi ternyata tidak sesuai kita komplain dan akhirnya move ke kamar yang sesuai yg kita request di awal setelah pindah ternyata ac di kamar,stay sini malam order by travel agent pilih room balkon pas sampe room kasi nyata sesuai komplain akhir move kamar sesuai request awal telah pindah nyata ac kamar,0
negatif,awal mula saya memilih grang mercure jogya karena saya berpikiran akan sama dengan seperti grand mercure yg di malang dan solo tapi ternyata sangaat beda jauh pertama pemesana n kamar tidak sesuai dengan yg saya pesan bed dipesanan saya,awal mula pilih grang mercure jogya pikir sama seperti grand mercure malang solo nyata sangaat beda jauh pertama sana kamar sesuai pesan bed pesan,0
negatif,hotel bagus kamar bagus tapi tidak punya lahan parkir gabung dengan parkir hotel ibis area parkir mobilnya di basement hotel ibis sempit sekali slot dan tracknya amburadul sudut kelok tajam satpam penjaga parkir beberapa hanya gagah,hotel bagus kamar bagus punya lahan parkir gabung parkir hotel ibis area parkir mobil basement hotel ibis sempit sekali slot tracknya beranta sudut kelok tajam satpam jaga parkir beberapa hanya gagah,0
negatif,pertama saat datang ke hotel lansung di sambut untuk membawakan barang barang seperti koper dll untuk dibawakan ke kamar tetapi kami mengorder kamar yang ranjangnya king size tetapi yang dikasih malah twin bed setelah kita mengkomplain,pertama saat datang hotel lansung sambut bawa barang barang seperti koper bawa kamar tetapi order kamar ranjang king size tetapi kasih malah twin bed telah komplain,0
negatif,saya menginap tgl januari kesan dihari pertama sudah kecewa saya pesan kamar dg kasur double king size tapi yg dikasi ternyata kasur twin,inap tanggal januari kesan hari pertama kecewa pesan kamar kasur double king size kasi nyata kasur twin,0
negatif,hari pertama datang malam hari dalam keadaan capek habis perjalanan naik kereta waktu masuk kamar udaranya udah kerasa ga enak bikin tenggorokan sakit karena bersin dan batuk terus telpon resepsionis minta tolong pindah kamar tapi,hari pertama datang malam hari ada capek habis jalan naik kereta waktu masuk kamar udara udah rasa enak bikin tenggorok sakit bersin batuk terus telpon resepsionis minta tolong pindah kamar,0
negatif,water heater lama panas access pintu tidak tertutup rapat ada fasilitas keamanan tidak digunakan sebaiknya hilangkan saja,water heater lama panas access pintu tutup rapat fasilitas aman guna baik hilang,0
negatif,menginap di sini dalam rangka acara kantor selama malam untuk kelas hotel bintang masih kalah jauh dengan hotel bintang di area lokasi yang sama,inap sini rangka acara kantor lama malam kelas hotel bintang masih kalah jauh hotel bintang area lokasi sama,0
negatif,sangat mengecewakan reservasi lwt wa tgl maret utk bukber tgl maret tanggal maret bela belain datang utk milih tempat krn kita org staff resto sdh mengkonfirmasi ok bisa akan disetting spt yg kita mau hari h kaget bgt posisi dipindah pojokan belakang sempit dan bad view tanpa konfirmasi sangat tidak profesional,sangat kecewa reservasi lwt wa tanggal maret buka sama tanggal maret tanggal maret bela bain datang milih tempat orang staff resto konfirmasi baik bisa disetting spt hari kaget banget posisi pindah pojok belakang sempit bad view tanpa konfirmasi sangat profesional,0
negatif,kamar sangat panas dan ac yang terasa hanya berupa blower yg sangat kencang tanpa rasa dingin freon entah karena cuaca jogja yang sangat panas karena perubahan suhu atau karena,kamar sangat panas ac asa hanya upa blower sangat kencang tanpa rasa dingin freon entah cuaca jogja sangat panas ubah suhu,0
netral,kondisi kamar bagus untuk kelas suite nya luas dan nyaman tp utk yg kelas dibawahnya agak terlalu banyak furniture jd terkesan sempit,kondisi kamar bagus kelas suite luas nyaman kelas bawah agak terlalu banyak furniture kes sempit,1
negatif,rasa masakan di restoran kurang enak semua dan kartu akses hanya di berikan saja dari hotel dan untuk pelayanan cukup bagus,rasa masakan restoran kurang enak semua kartu akses hanya ikan hotel layan cukup bagus,0
netral,kamarnya nyaman apalagi yang view hadap ke kolam renang pelayannya ramah dan sangat membantu untuk minusnya kalau dari kamar telpon ke resepsionis lamaaa banget angkat tlp seharusnya cepat dan minus di makanannya menurut aku untuk hotel ternama sarapannya kurang rasa,kamar nyaman apalagi view hadap kolam renang layan ramah sangat bantu minus kalau kamar telpon resepsionis lama banget angkat tlp harus cepat minus makan turut hotel nama sarap kurang rasa,1
netral,overall makanannya enak bergantian terus mungkin bisa ditambah jenis nasi liwet nasi uduk utk room lumayan bersih namun di sudut ruangan ada semut yg harus dibersihkan tiap hari,semua makan enak ganti terus mungkin bisa tambah jenis nasi liwet nasi uduk room lumayan bersih namun sudut ruang semut harus bersih tiap hari,1
negatif,pas waktu menginap disini kebetulan dpt kamar yg ada balkon nya tp view nya tembok sarapanya jg b aja pdhl hotel bintang,pas waktu inap sini betul dapat kamar balkon view tembok sarapanya padahal hotel bintang,0
netral,lokasi strategis makanannya enak ruangan kamar bagus tetapi entah kenapa kmrn sy nginap dapat kamar mandinya agak trouble drainasenya tapi overall is good,lokasi strategis makan enak ruang kamar bagus tetapi entah kenapa kmrn nginap dapat kamar mandi agak trouble drainase semua is good,1
negatif,pelayan nya tidak ramah pdhl yg berbatik bukan trainee air keran nya bocor terus kamar mandi menggenang air panas nya tidak panas di jam tertentu tp masa iya mandi harus jam mlm biar dpt air panas yg pas terlalu banyak peraturan breakfast digabung hotel lain yg lbh murah rate nya,layan ramah padahal batik bukan air keran bocor terus kamar mandi genang air panas panas jam tentu masa mandi harus jam mlm biar dapat air panas pas terlalu banyak atur sarap gabung hotel lain lebih murah rate,0
negatif,tadinya berharap mendapatkan fasilitas dan layanan bintang ternyata jauh dari ekspektasi termasuk fasilitas hotel yang dibawah standar,tadi harap dapat fasilitas layan bintang nyata jauh ekspektasi masuk fasilitas hotel bawah standar,0
negatif,kram untuk wudhu dkt wc jadi susah buat wudhu lebih baik dipindah di shower untuk lainnya ok sdh mantap satu lagi sarapan tidak ada lonsay,kran wudhu dekat wc susah wudhu lebih baik pindah shower lain baik mantap satu lagi sarap lontong sayur,0
negatif,d saat ramai lift mati hanya yang nyala dan menjadi numpuk d lobby nunggu lift sangat lama amanitis kamar nya minta tolong d cek lagi kalau cutton bud jangan yg tipis dan,saat ramai lift mati hanya nyala jadi numpuk lobby nunggu lift sangat lama amanitis kamar minta tolong check lagi kalau cutton bud jangan tipis,0
positif,rekomendasi untuk yang mau stay di jogja interiornya menyesuaikan kota jogja lobby mewah makanan banyak variasinya pelayanan baik ramah kolam renang besar lokasinya strategis saya menginap di room suite nya dan request honeymoon saat dtg sudah ada kue dan kamar sudah berhias ala honeymoon untuk roomnya,rekomendasi stay jogja interior sesuai kota jogja lobby mewah makan banyak variasi layan baik ramah kolam renang besar lokasi strategis inap room suite request honeymoon saat datang kue kamar hias ala honeymoon roomnya,2
