Casefold,processed,label_encoded,model_Label,gpt_label
so far so good untuk varian sarapan bs ditambah ya datang pas high season jadi resto penuh sama orang kantoran yg lg acara susah banget cari tempat duduk ada kendala saat balik acara akses pintu mati semua jadi harus turun ke,so far so good varian sarap tambah datang pas high season resto penuh sama orang kantor lagi acara susah banget cari tempat duduk kendala saat balik acara akses pintu mati semua harus turun,0,negatif,netral
pelayanan managemen untuk buka puasa sangat mengecewakan sudah reservasi sejak maret dan maret survey langsung ke lokasi pilih tempat untuk orang dan sudah deal saat bukber di tgl maret ternyata dipindah tempatnya pojokan,layan managemen buka puasa sangat kecewa reservasi sejak maret maret survey langsung lokasi pilih tempat orang tuju saat buka sama tanggal maret nyata pindah tempat pojok,0,negatif,negatif
fasilitas dan pelayanan tidak layak untuk hotel bintang akses dan area parkir sempit check in hampir jam baru dapat kamar welcome drink tidak ada sprei kualitas kurang kamar mandi terutama shower sempit,fasilitas layan layak hotel bintang akses area parkir sempit check in hampir jam baru dapat kamar drink sprei kualitas kurang kamar mandi utama shower sempit,0,negatif,negatif
service parah saat iftar piring membludak petigas malah senyum lalu pada kabur kaburan ngambilin piring receptionist hotel juga ngeselin gak bisa bantu early checking padahal sudah request jauh jauh hari bisa penyampaiannya pun gak mengenakkan hati,service parah saat iftar piring membludak tigas malah senyum lalu kabur kabur ngambilin piring receptionist hotel ngeselin bisa bantu early checking padahal request jauh jauh hari bisa sampai enak hati,0,negatif,negatif
parkiran motor tidak aman padahal berada di dalam gedung uang recehan saya yg buanyaak hampir penuh di dasbor motor habis tak bersisa dicuri semua motor teman jg dibuka joknya jd tau krn joknya mmg susah nutupnya,parkir motor aman padahal ada gedung uang receh buanyaak hampir penuh dasbor motor habis tak sisa curi semua motor teman buka jok tau jok mmg susah nutupnya,0,negatif,negatif
hotel yang nyaman untuk kerja atau liburan bersama keluarga kamarnya nyaman dan pelayanan yang sangat memuaskan,hotel nyaman kerja libur sama keluarga kamar nyaman layan sangat muas,2,positif,positif
menginap di kamar terdapat bathub di kamar mandinya sudah menutup bathub dengan tirai shower dan mencoba berbagai pengaturan shower air dari shower tetap keluar dari area bathub menggenang di area kloset duduk yg seharusnya kering sepertinya area bathub perlu di desain ulang,inap kamar dapat bathub kamar mandi tutup bathub tirai shower coba bagai atur shower air shower tetap keluar area bathub genang area kloset duduk harus kering seperti area bathub perlu desain ulang,0,negatif,negatif
proses check hampir jam booking kamar setelah proses check in hapir jam yg masih siap hanya kamar,proses check hampir jam booking kamar telah proses check in hapir jam masih siap hanya kamar,0,negatif,netral
first of all waktu baru masuk ke lobby pengharum ruangannya terlalu pekat sepertinya kalau dikurangi akan lebih nyaman,first of all waktu baru masuk lobby harum ruang terlalu pekat seperti kalau rang lebih nyaman,0,negatif,netral
kondisi kamar bersih nyaman untuk istirahat tapi ac gk bisa dikecilin terlalu dingin,kondisi kamar bersih nyaman istirahat ac bisa dikecilin terlalu dingin,0,negatif,positif
stay disini malam order by travel agent dan pilih room dengan balkon pas sampe room yg dikasi ternyata tidak sesuai kita komplain dan akhirnya move ke kamar yang sesuai yg kita request di awal setelah pindah ternyata ac di kamar,stay sini malam order by travel agent pilih room balkon pas sampe room kasi nyata sesuai komplain akhir move kamar sesuai request awal telah pindah nyata ac kamar,0,negatif,negatif
awal mula saya memilih grang mercure jogya karena saya berpikiran akan sama dengan seperti grand mercure yg di malang dan solo tapi ternyata sangaat beda jauh pertama pemesana n kamar tidak sesuai dengan yg saya pesan bed dipesanan saya,awal mula pilih grang mercure jogya pikir sama seperti grand mercure malang solo nyata sangaat beda jauh pertama sana kamar sesuai pesan bed pesan,0,negatif,negatif
hotel bagus kamar bagus tapi tidak punya lahan parkir gabung dengan parkir hotel ibis area parkir mobilnya di basement hotel ibis sempit sekali slot dan tracknya amburadul sudut kelok tajam satpam penjaga parkir beberapa hanya gagah,hotel bagus kamar bagus punya lahan parkir gabung parkir hotel ibis area parkir mobil basement hotel ibis sempit sekali slot tracknya beranta sudut kelok tajam satpam jaga parkir beberapa hanya gagah,0,negatif,negatif
pertama saat datang ke hotel lansung di sambut untuk membawakan barang barang seperti koper dll untuk dibawakan ke kamar tetapi kami mengorder kamar yang ranjangnya king size tetapi yang dikasih malah twin bed setelah kita mengkomplain,pertama saat datang hotel lansung sambut bawa barang barang seperti koper bawa kamar tetapi order kamar ranjang king size tetapi kasih malah twin bed telah komplain,0,negatif,negatif
saya menginap tgl januari kesan dihari pertama sudah kecewa saya pesan kamar dg kasur double king size tapi yg dikasi ternyata kasur twin,inap tanggal januari kesan hari pertama kecewa pesan kamar kasur double king size kasi nyata kasur twin,0,negatif,negatif
hari pertama datang malam hari dalam keadaan capek habis perjalanan naik kereta waktu masuk kamar udaranya udah kerasa ga enak bikin tenggorokan sakit karena bersin dan batuk terus telpon resepsionis minta tolong pindah kamar tapi,hari pertama datang malam hari ada capek habis jalan naik kereta waktu masuk kamar udara udah rasa enak bikin tenggorok sakit bersin batuk terus telpon resepsionis minta tolong pindah kamar,0,negatif,negatif
water heater lama panas access pintu tidak tertutup rapat ada fasilitas keamanan tidak digunakan sebaiknya hilangkan saja,water heater lama panas access pintu tutup rapat fasilitas aman guna baik hilang,0,negatif,negatif
menginap di sini dalam rangka acara kantor selama malam untuk kelas hotel bintang masih kalah jauh dengan hotel bintang di area lokasi yang sama,inap sini rangka acara kantor lama malam kelas hotel bintang masih kalah jauh hotel bintang area lokasi sama,0,negatif,negatif
sangat mengecewakan reservasi lwt wa tgl maret utk bukber tgl maret tanggal maret bela belain datang utk milih tempat krn kita org staff resto sdh mengkonfirmasi ok bisa akan disetting spt yg kita mau hari h kaget bgt posisi dipindah pojokan belakang sempit dan bad view tanpa konfirmasi sangat tidak profesional,sangat kecewa reservasi lwt wa tanggal maret buka sama tanggal maret tanggal maret bela bain datang milih tempat orang staff resto konfirmasi baik bisa disetting spt hari kaget banget posisi pindah pojok belakang sempit bad view tanpa konfirmasi sangat profesional,0,negatif,negatif
kamar sangat panas dan ac yang terasa hanya berupa blower yg sangat kencang tanpa rasa dingin freon entah karena cuaca jogja yang sangat panas karena perubahan suhu atau karena,kamar sangat panas ac asa hanya upa blower sangat kencang tanpa rasa dingin freon entah cuaca jogja sangat panas ubah suhu,0,negatif,negatif
kondisi kamar bagus untuk kelas suite nya luas dan nyaman tp utk yg kelas dibawahnya agak terlalu banyak furniture jd terkesan sempit,kondisi kamar bagus kelas suite luas nyaman kelas bawah agak terlalu banyak furniture kes sempit,1,netral,netral
rasa masakan di restoran kurang enak semua dan kartu akses hanya di berikan saja dari hotel dan untuk pelayanan cukup bagus,rasa masakan restoran kurang enak semua kartu akses hanya ikan hotel layan cukup bagus,0,negatif,negatif
kamarnya nyaman apalagi yang view hadap ke kolam renang pelayannya ramah dan sangat membantu untuk minusnya kalau dari kamar telpon ke resepsionis lamaaa banget angkat tlp seharusnya cepat dan minus di makanannya menurut aku untuk hotel ternama sarapannya kurang rasa,kamar nyaman apalagi view hadap kolam renang layan ramah sangat bantu minus kalau kamar telpon resepsionis lama banget angkat tlp harus cepat minus makan turut hotel nama sarap kurang rasa,1,netral,positif
overall makanannya enak bergantian terus mungkin bisa ditambah jenis nasi liwet nasi uduk utk room lumayan bersih namun di sudut ruangan ada semut yg harus dibersihkan tiap hari,semua makan enak ganti terus mungkin bisa tambah jenis nasi liwet nasi uduk room lumayan bersih namun sudut ruang semut harus bersih tiap hari,1,netral,positif
pas waktu menginap disini kebetulan dpt kamar yg ada balkon nya tp view nya tembok sarapanya jg b aja pdhl hotel bintang,pas waktu inap sini betul dapat kamar balkon view tembok sarapanya padahal hotel bintang,0,negatif,negatif
lokasi strategis makanannya enak ruangan kamar bagus tetapi entah kenapa kmrn sy nginap dapat kamar mandinya agak trouble drainasenya tapi overall is good,lokasi strategis makan enak ruang kamar bagus tetapi entah kenapa kmrn nginap dapat kamar mandi agak trouble drainase semua is good,1,netral,positif
pelayan nya tidak ramah pdhl yg berbatik bukan trainee air keran nya bocor terus kamar mandi menggenang air panas nya tidak panas di jam tertentu tp masa iya mandi harus jam mlm biar dpt air panas yg pas terlalu banyak peraturan breakfast digabung hotel lain yg lbh murah rate nya,layan ramah padahal batik bukan air keran bocor terus kamar mandi genang air panas panas jam tentu masa mandi harus jam mlm biar dapat air panas pas terlalu banyak atur sarap gabung hotel lain lebih murah rate,0,negatif,negatif
tadinya berharap mendapatkan fasilitas dan layanan bintang ternyata jauh dari ekspektasi termasuk fasilitas hotel yang dibawah standar,tadi harap dapat fasilitas layan bintang nyata jauh ekspektasi masuk fasilitas hotel bawah standar,0,negatif,negatif
kram untuk wudhu dkt wc jadi susah buat wudhu lebih baik dipindah di shower untuk lainnya ok sdh mantap satu lagi sarapan tidak ada lonsay,kran wudhu dekat wc susah wudhu lebih baik pindah shower lain baik mantap satu lagi sarap lontong sayur,0,negatif,netral
d saat ramai lift mati hanya yang nyala dan menjadi numpuk d lobby nunggu lift sangat lama amanitis kamar nya minta tolong d cek lagi kalau cutton bud jangan yg tipis dan,saat ramai lift mati hanya nyala jadi numpuk lobby nunggu lift sangat lama amanitis kamar minta tolong check lagi kalau cutton bud jangan tipis,0,negatif,negatif
rekomendasi untuk yang mau stay di jogja interiornya menyesuaikan kota jogja lobby mewah makanan banyak variasinya pelayanan baik ramah kolam renang besar lokasinya strategis saya menginap di room suite nya dan request honeymoon saat dtg sudah ada kue dan kamar sudah berhias ala honeymoon untuk roomnya,rekomendasi stay jogja interior sesuai kota jogja lobby mewah makan banyak variasi layan baik ramah kolam renang besar lokasi strategis inap room suite request honeymoon saat datang kue kamar hias ala honeymoon roomnya,2,positif,positif
lampu di kamar kurang terang buah kurang bagus kualitasnya rasanya tifak fresh krn disimpan di kulkas sdh dlm kondisi dipotong semangkanya lembek dan ada rasa aneh kemungkinan dr,lampu kamar kurang terang buah kurang bagus kualitas rasa tifak fresh simpan kulkas dlm kondisi potong semangka lembek rasa aneh mungkin,0,negatif,negatif
sy stay n bersama anak saya pagi ini feb breakfast di cafe dan ada charge penambahan anak sy usia th sy tdk tau kriteria apa utk tamu yg ditawari kopi teh dan tidak namun sy lihat,stay sama pagi feb sarap cafe charge tambah usia th tau kriteria apa tamu tawar kopi teh namun lihat,1,netral,negatif
menunya variasi dan enak tapi air minum dikamar terbatas hanya botol kaca ukuran sgt kecil resepsionisnya kurang beretika,menu variasi enak air minum kamar batas hanya botol kaca ukur sgt resepsionis kurang etika,0,negatif,negatif
tempat strategis makanan lengkap dan enak kamar saya dapat di lantai smoking tp staff melayani dg sangat baik hanya saja air shower kurang kenceng,tempat strategis makan lengkap enak kamar dapat lantai smoking staff layan sangat baik hanya air shower kurang kenceng,1,netral,positif
kamarnya nyaman dan cukuo luas untuk berdua cuma fasilitas wifinya kurang bagus selama acara dan di kamar saya menggunakan tethering paket data pribadi pancuran di kamar mandi tidak mulus kalau mandi malam air panasnya harus nunggu,kamar nyaman cukuo luas dua cuma fasilitas wifinya kurang bagus lama acara kamar guna tethering paket data pribadi pancur kamar mandi mulus kalau mandi malam air panas harus nunggu,0,negatif,negatif
pelayanan kamar baik dan bersih tapi kalau bisa ditingkatkan lagi body wash dipisah dengan hair wash water heaternya berfungsi dengan baik ini penting kasurnya lengkap dengan bantal guling is a plus one for me perlengkapan mandi lengkap makanan di resto oke tapi standar saja dan kurang banyak pilihan,layan kamar baik bersih kalau bisa tingkat lagi body wash pisah hair wash water heaternya fungsi baik penting kasur lengkap bantal guling is a plus one for me lengkap mandi lengkap makan resto baik standar kurang banyak pilih,1,netral,positif
letaknya sangat strategis dekat dg stasiun bandara lama dan pusat aktivitas kelebihan kamarnya bersih nyaman dg bantal dan guling yg banyak kekurangannya tdk ada hair dryer dan channel tv tdk bersih anggap saja tdk ada tv pelayanan,letak sangat strategis dekat stasiun bandara lama pusat aktivitas lebih kamar bersih nyaman bantal guling banyak kurang hair dryer channel televisi bersih anggap televisi layan,1,netral,positif
untuk menu makanannya cukup variatif hanya saja beberapa makanan sedikit asin dan sajiannya sedikit kurang tertata semoga kedepannya grand mercure bisa improve untuk semuanya,menu makan cukup variatif hanya beberapa makan sedikit asin saji sedikit kurang tata moga depan grand mercure bisa improve semua,1,netral,positif
makanan enak dan sangat beragam indonesian termasuk cappuccino dan minuman tradisional untuk infrastruktur agak tua lift berbunyi tapi yang cukup mengganggu adalah kulkas dikamar juga berbunyi seperti bunyi jangkrik malam hari,makan enak sangat agam indonesian masuk cappuccino minum tradisional infrastruktur agak tua lift bunyi cukup ganggu adalah kulkas kamar bunyi seperti bunyi jangkrik malam hari,0,negatif,negatif
sarapan pagi banyak variasi dan cocok rasa serta aromanya hanya kedepan kalau boleh kamar siapin juga sabun batang karena gak semua familier dengan gel soap,sarap pagi banyak variasi cocok rasa aroma hanya depan kalau boleh kamar siapin sabun batang semua familier gel soap,1,netral,positif
tadi sempat ada masalah dgn pemindahan kamar basically krn info dr panitia kurang maksimal tp saya merasa dr pihak hotel juga agak kurang maksimal dlm assisting their guests,tadi sempat masalah pindah kamar basically info panitia kurang maksimal rasa pihak hotel agak kurang maksimal dlm assisting their guests,0,negatif,negatif
kamarnya luas bed nya ada yang ukuran besar jadi bisa buat ber sama anak makanannya enak semoga bisa kembali suatu hari nanti,kamar luas bed ukur besar bisa ber sama makan enak moga bisa kembali suatu hari nanti,2,positif,positif
toilet bau kaya gak pernah dibersihin pintu gak bisa ditutup air gak keluar,toilet bau kaya pernah dibersihin pintu bisa tutup air keluar,0,negatif,negatif
sinyal wi fi sangat lemah apalagi kalau buat kerja dan gaming kalau pun di switch ke mode data sinyal jg turun dari g ke e edge hal ini mengurangi kenyamanan untuk stay di hotel dan seolah meminta untuk keluar saja,sinyal wi fi sangat lemah apalagi kalau kerja gaming kalau switch mode data sinyal turun g e edge hal kurang nyaman stay hotel olah minta keluar,0,negatif,negatif
bukber dengan harga rb pax makanan nasi biryaninya tapi kurang dimsumnya cuma beberapa trs abis ga,buka sama harga rb pax makan nasi biryaninya kurang dimsumnya cuma beberapa terus abis,0,negatif,negatif
pengalaman nginap di grand mercure tgl november lumayan baik tapii ada tapinya sih untuk hotel sekelas bintang saya berekspektasi fasilitas kamar mendapat smart tv tapi ternyata belum tersedia dan sayang nya parkir untuk tamu,alam nginap grand mercure tanggal november lumayan baik tapi tapi hotel kelas bintang berekspektasi fasilitas kamar dapat smart televisi nyata belum sedia sayang parkir tamu,0,negatif,negatif
hotel memiliki kategori yang bisa dibilang sangat memuaskan lokasi yang strategis dan dekat dengan kota pelayanan nya yang bisa dibilang sangat cekatan dan bagus untuk hotel sekelasnya,hotel milik kategori bisa bilang sangat muas lokasi strategis dekat kota layan bisa bilang sangat cekat bagus hotel kelas,2,positif,positif
grand mercure jogja benar benar memukau hotelnya indah bersih dan nyaman sempurna untuk liburan maupun perjalanan bisnis,grand mercure jogja benar benar pukau hotel indah bersih nyaman sempurna libur maupun jalan bisnis,2,positif,positif
hotel yg sdh lumayan tua pintu kamar mandi kayu sdh beberapa bagiannya lepas dan lampu kamar mandi mati di malam terakhir parkiran basement bau kurang sedap pelayanan staff sangat bagus dan membantu kolam renang kecil banget dan spertinya jadi satu dng ibis,hotel lumayan tua pintu kamar mandi kayu beberapa bagi lepas lampu kamar mandi mati malam akhir parkir basement bau kurang sedap layan staff sangat bagus bantu kolam renang banget spertinya satu dng ibis,0,negatif,negatif
selama stay d hotel accor dengan member gold pengalaman disini sangat buruk lift mati nyala hanya dimana occ kamar lagi rame fo ga ada ramah nya daan yang parah ketika pakai cutten bud baru d masukin ke kupung sudah ketinggalan d,lama stay hotel accor member gold alam sini sangat buruk lift mati nyala hanya mana kamar lagi rame ramah parah ketika pakai cutten bud baru masukin pung tinggal,0,negatif,negatif
pelayanan cukup memuaskan tetapi untuk tmtp sarapanya terallu tinggi di lt jd malas orng untuk naik klw bs sarapan di lantai loby biar sxan cek out,layan cukup muas tetapi tmtp sarapanya terallu tinggi lantai malas orng naik klw sarap lantai loby biar sxan check out,1,netral,netral
kalau bisa tiap lift ada pemandunya guide untuk para tamu yang butuh info terus setelah masuk halaman hotel lokasi jalan menuju parkir sangat sempit dan menikung tajam tidak ada rambu yang jelas atau saya yang kurang jelas melihatnya kalau bisa rambunya ditaruh pada lokasi yang mudah terlihat pengemudi dan cukup besar,kalau bisa tiap lift pandu guide tamu butuh info terus telah masuk halaman hotel lokasi jalan tuju parkir sangat sempit tikung tajam rambu jelas kurang jelas lihat kalau bisa rambu taruh lokasi mudah lihat kemudi cukup besar,0,negatif,netral
menu resto lengkap pelayanan oke best bgt deh thank u,menu resto lengkap layan baik banget terimakasih,2,positif,positif
kamar dan suasana nyaman bersih ga bakal nyesel nginep disini sarapannya juga enak enak sampe bingung tks kak caroline sudah menservice kita dgn happy,kamar suasana nyaman bersih bakal nyesel nginep sini sarap enak enak sampe bingung terimakasih servis senang,2,positif,positif
untuk sarapan paginya sangat enak banyak menunya dan layanan atas nama fifin sangat bagus semuanya memuaskan,sarap pagi sangat enak banyak menu layan atas nama sangat bagus semua muas,2,positif,positif
sarapan menu sangat bnyk n enak pelayanannya sangat ramah devita,sarap menu sangat banyak enak layan sangat ramah,2,positif,positif
untuk sarapannya lengkap semuanya ada enak saladnya fresh fres lena,sarap lengkap semua enak saladnya fresh,2,positif,positif
kren top markotop menu pelayanan nya suupeer,keren top markotop menu layan suupeer,2,positif,positif
untuk kamar nya cukup nyaman pelayanan juga oke banget,kamar cukup nyaman layan baik banget,2,positif,positif
sarapan sambil bisa menikmati jalan kenangan semasa kuliah,sarap sambil bisa nikmat jalan kenang masa kuliah,2,positif,positif
sarapan pagi nya sangat enak enak dan pelayanan atas nama fifin sangat cepat dan ramah,sarap pagi sangat enak enak layan atas nama sangat cepat ramah,2,positif,positif
hospitality ny bagus kamar bersih untuk breakfast paling enak curry beef ny mantab,hospitality bagus kamar bersih sarap paling enak curry beef mantab,2,positif,positif
sarapan nya mantap and mak yus,sarap mantap and mak yus,2,positif,positif
iftar disini seru abiss tempat nyaman makanan enak pelayanan restaurant sangat baik recomendeddddd,iftar sini seru abiss tempat nyaman makan enak layan restaurant sangat baik recomended,2,positif,positif
tempat nya bagus dan enak dan kamar hotelnya sangat dingin pelayanan nya juga mantap,tempat bagus enak kamar hotel sangat dingin layan mantap,2,positif,positif
saya menginap di hotel grand mercure sangat nyaman menu memuaskan pelayanan prima,inap hotel grand mercure sangat nyaman menu muas layan prima,2,positif,positif
pengalaman menginap disana seru lokasinya strategis dkt sama mall serta fasilitas umum lainnya,alam inap sana seru lokasi strategis dekat sama mall fasilitas umum lain,2,positif,positif
nasi goreng hijau mantap terimakasih atas pelayanan yg ramah dari mba aztuti sukses sll,nasi goreng hijau mantap terimakasih atas layan ramah sukses,2,positif,positif
allhamdulilah nyaman dlm rangka kedinasan,allhamdulilah nyaman dlm rangka dinas,2,positif,positif
breakfast ok pelayanan staff ramah,sarap baik layan staff ramah,2,positif,positif
sarapannya rasanyaa jossss pelayanan sat set sama mb lena,sarap rasanyaa jos layan sat set sama,2,positif,positif
untuk makanannya oke cukup beragam cuma bisa dikurangi manis nya atau asinnya untuk kamarnya cukup kaget karena beda dari beberapa tahun terakhir saya kesini,makan baik cukup agam cuma bisa rang manis asin kamar cukup kaget beda beberapa tahun akhir kesini,0,negatif,netral
sarapan paginya sangat enak menunya lengkap dan memuaskan layanan atas nama fifin baik dan ramah serta cepat,sarap pagi sangat enak menu lengkap muas layan atas nama baik ramah cepat,2,positif,positif
pelayanan dan makanan enak terima kasih mba silvia,layan makan enak terima kasih,2,positif,positif
pelayanan serta fasilitas yang ada sangat memuaskan,layan fasilitas sangat muas,2,positif,positif
makanan yang disajikan selalu baru dan banyak macamnya pelayanan cepat dan tempatnya bersih,makan saji selalu baru banyak macam layan cepat tempat bersih,2,positif,positif
good service pelayananya makanannya enak semua memuaskan,good service pelayananya makan enak semua muas,2,positif,positif
cukup puas dan pelayanan nya ramah break fast a n lena,cukup puas layan ramah break fast a,2,positif,positif
pelayanan yang luar biasa bagus makanan yang banyak variasi dan enak kamar juga nyaman,layan luar biasa bagus makan banyak variasi enak kamar nyaman,2,positif,positif
sajian makanan enak layanan ramah di layani oleh petugas bernama aztuti,saji makan enak layan ramah layan oleh tugas nama,2,positif,positif
pelayan restorannya ramah dan menu sarapannya mantab,layan restoran ramah menu sarap mantab,2,positif,positif
sangat nyaman baik pelayanan fasilitas smuanya bagus,sangat nyaman baik layan fasilitas smuanya bagus,2,positif,positif
untuk kamar nya sudah ada bantal dan guling sangat nyaman sekali untuk kasurnya untuk makanan nya sesuai dengan rating restoran nya enak dan menggugah selera terima kasih,kamar bantal guling sangat nyaman sekali kasur makan sesuai rating restoran enak gugah selera terima kasih,2,positif,positif
kesini untuk acara bpip fasilitas hotel lengkap dan kondisinya masih sangat bagus untuk makanannya enak pelayanan prima sigap dan cekatan kalau habis selesai makan langsung di ambil dan juga ramah,kesini acara bpip fasilitas hotel lengkap kondisi masih sangat bagus makan enak layan prima sigap cekat kalau habis selesai makan langsung ambil ramah,2,positif,positif
untuk pelayanan cukup memuaskan kamar nyaman dan bersih menu di restoran juga enak,layan cukup muas kamar nyaman bersih menu restoran enak,2,positif,positif
pelayananannya sangat baik dan terbantu oleh mbak lena,pelayananannya sangat baik bantu oleh,2,positif,positif
sarapan pagi beragam dan enak layanan atas nama fifin sangat ramah dan baik,sarap pagi agam enak layan atas nama sangat ramah baik,2,positif,positif
saya suka dengan sarapan paginya enak dan layanan atas nama fifin baik ramah anaknya cantik,suka sarap pagi enak layan atas nama baik ramah anak cantik,2,positif,positif
dari pelayanannua bagus stafnya ramah sarapannya juga enak kebersihan kamar juga bagus,pelayanannua bagus staf ramah sarap enak bersih kamar bagus,2,positif,positif
kami menginap tepat saat long weekend selama hari malam pengalaman saat cek in hari ini yg informasinya bisa di dapat dijam hotel umumnya info cek in di jam kami dapatkan kunci hampir jam malam sungguh pengalaman luar,inap tepat saat long weekend lama hari malam alam saat check in hari informasi bisa dapat jam hotel umum info check in jam dapat kunci hampir jam malam sungguh alam luar,0,negatif,negatif
pengalaman kedua menginap disini karena memang ada acara dari kantor pengalaman pertama dulu mgkin sekitar atau tahun lalu entah kenapa saya gak terlalu noticed sama kondisi sekitar hotel,alam dua inap sini memang acara kantor alam pertama dulu mgkin sekitar tahun lalu entah kenapa terlalu noticed sama kondisi sekitar hotel,0,negatif,netral
mudah dijangkau dan byk fasilitas umum layanan bgs,mudah jangkau banyak fasilitas umum layan bagus,2,positif,positif
makanan enak kamar bagus bersih layanan memuaskan,makan enak kamar bagus bersih layan muas,2,positif,positif
di sini kamarnya nyaman jadi bisa tidur nyenyak sarapan pagi sungguh luar biasa menunya komplit plit semua ada thank you grand mercure,sini kamar nyaman bisa tidur nyenyak sarap pagi sungguh luar biasa menu komplit plit semua terimakasih you grand mercure,2,positif,positif
nyaman strategis letaknya,nyaman strategis letak,2,positif,positif
hotel yang good best apalgii pelayanannya dan staff nya selalu ramah dalam menangani the besty,hotel good apalagi layan staff selalu ramah tangan,2,positif,positif
makanannya enak tempat bersih pelayanannya juga baguusss,makan enak tempat bersih layan baguus,2,positif,positif
sarapan paling bagus banyak pilihan devita pelayanan bagus,sarap paling bagus banyak pilih layan bagus,2,positif,positif
untuk sarapan pagi sangat puas trimakasih,sarap pagi sangat puas terimakasih,2,positif,positif
breakfast nya cukup lengkap dengan rasa yang pas dan nikmat beraneka makanan lokal minuman tersedia pelayanan dibantu oleh mba lena,sarap cukup lengkap rasa pas nikmat aneka makan lokal minum sedia layan bantu oleh,2,positif,positif
hotelnya nyaman makananya oke pelayananya baik sangat membantu tamu,hotel nyaman makananya baik pelayananya baik sangat bantu tamu,2,positif,positif
menginap di hotel ini nyaman n pelayanan nya bagus,inap hotel nyaman layan bagus,2,positif,positif
sarapan nya enak agak berbeda atau unik dengan hotel yang saya pernah kunjungin dj jogja di bantu oleh training lena,sarap enak agak beda unik hotel pernah kunjungin jogja bantu oleh training,2,positif,positif
untuk pelayanan atas nama mba thania cukup memuaskan ramah dan murah senyum terimakasih,layan atas nama cukup muas ramah murah senyum terimakasih,2,positif,positif
pelayanan mba fifin mantul,layan mantul,2,positif,positif
pelayanan staff nya ramah kamar nya juga bersih dan wangi,layan staff ramah kamar bersih wangi,2,positif,positif
ruangannya bersih call ke resepsionisnya sangat tanggap walau malam breakfastnya lengkap enak dari saladnya segar dan semuanya masih hangat pelayanannya tanggap terutama mba silvia sangat oke recommended,ruang bersih call resepsionis sangat tanggap walau malam breakfast lengkap enak saladnya segar semua masih hangat layan tanggap utama sangat baik rekomendasi,2,positif,positif
lokasi hotel strategis beberapa kali diundang acara di hotel ini sempat beberapa kali juga memilih hotel mercure untuk acara hasilnya selalu memuaskan pelayanan baik didukung dengan staf yang ramah terima kasih grand mercure yogyakarta,lokasi hotel strategis beberapa kali undang acara hotel sempat beberapa kali pilih hotel mercure acara hasil selalu muas layan baik dukung staf ramah terima kasih grand mercure yogyakarta,2,positif,positif
alhamdulillah nyaman menginap disini kamar bersih pelayanan ramah trimakasih atas pelayanan yg diberikan insyaallah next ksini lg,alhamdulillah nyaman inap sini kamar bersih layan ramah terimakasih atas layan beri insyaallah next ksini lagi,2,positif,positif
pelayanan baik kamar bersih dan bagus akses kemana saja sangat mudah sistem keamanan baik cuma ada bbrp security yg mandang rendah krn kami naik motor saat disapa malah diam saja dan mandang curiga hahaha gini amat yak harus bawa mobil kl pengen dihormati,layan baik kamar bersih bagus akses mana sangat mudah sistem aman baik cuma beberapa security mandang rendah naik motor saat sapa malah diam mandang curiga gin amat harus bawa mobil kalau ken hormat,0,negatif,positif
hotel ini bagus dari berbagai sisi mulai dari layanan kamar makanan lokasi mudah dijangkau,hotel bagus bagai sisi mulai layan kamar makan lokasi mudah jangkau,2,positif,positif
pelayanan disini sangat bagus dan breakfast nya pun enak dan orang nya juga pada ramah,layan sini sangat bagus sarap enak orang ramah,2,positif,positif
pelayanan hotel sangat bagus makanan enak dan variasinya banyak kamar bagus dan lega fasilitas lengkap overall memuaskan,layan hotel sangat bagus makan enak variasi banyak kamar bagus lega fasilitas lengkap semua muas,2,positif,positif
pelayanan nya ramah sesuai dengan kota nya ademmmm saya senang dan berharap bisa ke sini lagi fasilitas hotel sangat lengkap terima kasih,layan ramah sesuai kota adem senang harap bisa sini lagi fasilitas hotel sangat lengkap terima kasih,2,positif,positif
pelayanannya ramah fasilitasnya juga oke menu sarapannya lengkap enak dan fresh juga top deh pokoknya,layan ramah fasilitas baik menu sarap lengkap enak fresh top pokok,2,positif,positif
pelayanan fasilitas dan menu makanan sangat memuaskan rekomended untuk jadi tempat menginap baik tugas kantor atau bersama keluarga,layan fasilitas menu makan sangat muas rekomended tempat inap baik tugas kantor sama keluarga,2,positif,positif
staff ramah kamar luas nyaman makanan di restonya enak,staff ramah kamar luas nyaman makan restonya enak,2,positif,positif
sarapan pagi sangat enak layanan fifin sangat baik dan ramah,sarap pagi sangat enak layan sangat baik ramah,2,positif,positif
pelatanan di sini sangat luarbiasa staf nya ramah ramah makanannya enak kamarnya bersih,pelatanan sini sangat luarbiasa staf ramah ramah makan enak kamar bersih,2,positif,positif
pelayanan bagus staff ramah semua tempat nya bersih higienis dan nyaman sekalii,layan bagus staff ramah semua tempat bersih higienis nyaman sekali,2,positif,positif
menginap di grand mercure sangat nyaman dan mantap pengen nginep terus,inap grand mercure sangat nyaman mantap ken nginep terus,2,positif,positif
menu sarapan enak dan kamar ok dan di bantu juga pelayanan oleh mba lena,menu sarap enak kamar baik bantu layan oleh,2,positif,positif
pengalaman saya nginap di sini pelayanan sangat ok dan kamar pun jg bersih,alam nginap sini layan sangat baik kamar bersih,2,positif,positif
